Id,ÐÔ×´1,ÐÔ×´2,blueref,greenref,redref,rededgeref,NIRref,GIgreen,CIre,DVI,EVI,ExG,GBNDVI,GNDVI,MEVI,MSR,MTCI,MTVI2,NDVI,NDRE,NGRDI,NIRRENDVI,NPCI,PSRI,REDVI,RENDVI,RERVI,RGRI,RVI,TCVI,SARE,SAVI,LCI,OSAVI
459,119.44,51.4,0.269451158,0.301201034,0.193669223,0.404700295,0.471741233,0.566200576,0.165655767,0.27807201,1.134297241,0.18222921,-0.094888318,0.220637693,0.102138305,0.112567196,0.317682781,-0.04737801,0.417895462,0.076492197,0.217292936,0.387016009,-0.16363334,-0.160643017,0.067040938,0.352676842,1.165655767,0.6429899,2.435808984,4.021412002,0.309515684,0.55376757,0.100751254,0.336889372
461,81.66,33.6,0.19155301,0.154842559,0.132516681,0.253781631,0.33222659,1.145576721,0.309104164,0.199709909,0.722875173,-0.030035925,-0.02087904,0.364186546,0.115796365,0.203415055,0.64688897,-0.034888367,0.429720928,0.13386324,0.077693268,0.377155319,-0.182171709,-0.177698989,0.078444959,0.3139153,1.309104164,0.85581562,2.507054874,-1.300720029,0.34383276,0.529414886,0.168792027,0.319667164
464,69.8,36.66,0.200476249,0.172673968,0.136564823,0.26720437,0.341282123,0.976453813,0.277232565,0.2047173,0.77886756,0.016297076,-0.044606175,0.328059454,0.112276201,0.18371328,0.567039267,-0.033962503,0.428416047,0.121740998,0.116767838,0.380388733,-0.189625035,-0.187268599,0.074077753,0.32355006,1.277232565,0.790882521,2.499048545,-1.79845497,0.336288781,0.531264215,0.155024017,0.320950505
466,73.9,37.8,0.217873047,0.17888464,0.141126643,0.288642678,0.381693797,1.133742709,0.322374777,0.240567154,1.011796799,-0.002287499,-0.019351098,0.361785511,0.131286088,0.21154117,0.630786469,-0.030052382,0.460133414,0.138812555,0.117989582,0.407398027,-0.21377847,-0.20106799,0.093051119,0.343244685,1.322374777,0.788925436,2.70461898,-3.177785065,0.351105543,0.561284668,0.177979114,0.352313932
467,93.6,33.4,0.165047458,0.145548927,0.105667578,0.240203347,0.324485227,1.229389338,0.350877208,0.218817649,0.759114263,0.048966091,0.02186938,0.380687867,0.125862353,0.228844345,0.626464471,-0.022443081,0.508697483,0.149253737,0.158752904,0.45533842,-0.219344597,-0.182997177,0.08428188,0.388976811,1.350877208,0.725993517,3.070811634,-1.22530811,0.35345288,0.571718366,0.195934744,0.370781342
475,86.52,28,0.179905313,0.139910435,0.147639811,0.232447396,0.312688262,1.234917367,0.345200109,0.16504845,0.485872599,-0.10209367,-0.011268682,0.381746186,0.120987212,0.225414044,0.946152009,-0.024843528,0.358545264,0.147194309,-0.026880088,0.297300681,-0.098507042,-0.103187441,0.080240866,0.223126648,1.345200109,1.055245172,2.117912906,-0.461976214,0.350914687,0.482355241,0.174312346,0.266066389
478,100.54,30.2,0.174873248,0.118537109,0.12379157,0.227595972,0.342969147,1.89334833,0.506920992,0.219177577,0.707783179,-0.147627792,0.077876157,0.486303349,0.158521736,0.320162124,1.111447818,-0.003406786,0.469571601,0.202208603,-0.021683198,0.394771944,-0.171033462,-0.148939572,0.115373176,0.295412868,1.506920992,1.044327559,2.77053718,-0.797708138,0.390602096,0.555789048,0.247178418,0.34969897
483,85.2,29.5,0.166226709,0.120559587,0.093580353,0.222711958,0.336792272,1.793575187,0.512232546,0.243211919,0.933170651,-0.049131246,0.08019194,0.47279284,0.161233583,0.323174622,0.883442228,0.004220527,0.565119399,0.203895355,0.125988802,0.498675519,-0.279616559,-0.215700783,0.114080313,0.408266661,1.512232546,0.776216598,3.598963478,-1.51631224,0.390926149,0.607468702,0.26507335,0.411963409
489,115.24,33,0.231143592,0.228370039,0.159882111,0.357979387,0.422595947,0.850487694,0.180503575,0.262713836,1.013069202,0.106094328,-0.041851585,0.298365678,0.086957884,0.122238329,0.326186004,-0.083274312,0.451027867,0.082780683,0.176400641,0.418789918,-0.182242447,-0.168627933,0.064616559,0.382529455,1.180503575,0.70010108,2.643172176,-6.855125975,0.312699501,0.565580493,0.110933894,0.353833805
499,81.2,34.5,0.197645448,0.098635288,0.109682849,0.294327781,0.401302932,3.068553362,0.363455839,0.291620083,1.263389018,-0.271102447,0.150551397,0.605410093,0.110169858,0.236416566,0.579356006,-0.120537203,0.570700975,0.153781523,-0.05303216,0.520510256,-0.286217053,-0.219192517,0.106975151,0.457029887,1.363455839,1.112004143,3.658757379,-1.963458506,0.363125715,0.633213577,0.209350543,0.434614401
