label,B,G,R,rededge,NIR,GIgreen,CIre,DVI,EVI,ExG,GBNDVI,GNDVI,MEVI,MSR,MTCI,MTVI2,NDVI,NDRE,NGRDI,NIRRENDVI,NPCI,PSRI,REDVI,RENDVI,RERVI,RGRI,RVI,TCVI,SARE,SAVI,LCI,OSAVI
0,0.107715452,0.267786931,0.098755304,0.44488273,0.477753922,0.784082289,0.073887318,0.378998618,0.750539959,0.693933099,0.119836838,0.281630429,0.038425195,0.051307083,0.094968468,-0.163426371,0.65740252,0.03562745,0.461151844,0.647348854,-0.043396695,-0.018754736,0.032871192,0.63668729,1.073887318,0.368783134,4.837754565,-0.219510083,0.278031864,0.708553403,0.057017633,0.51458774
0,0.16474403,0.312697327,0.161522516,0.432974551,0.434046051,0.38807087,0.002474741,0.272523534,0.583511731,0.468145572,-0.047609331,0.162503917,0.001588195,0.001748824,0.00394729,-0.13542956,0.45758549,0.001235841,0.318786345,0.457097116,-0.00987387,-0.007422055,0.0010715,0.456607862,1.002474741,0.516545881,2.687216996,-0.111554261,0.250959248,0.572296198,0.001799121,0.360686702
0,0.200130805,0.329760993,0.206475013,0.437742456,0.435865373,0.321761466,-0.004288099,0.22939036,0.488590855,0.34346492,-0.097360317,0.138585066,-0.002953036,-0.003035399,-0.008116503,-0.124134474,0.357116515,-0.002148656,0.229909925,0.35805448,0.015602846,0.01455543,-0.001877083,0.358989711,0.995711901,0.626135345,2.110983635,0.214208784,0.248329415,0.507065985,-0.002922256,0.28590155
0,0.176833592,0.31212442,0.191105916,0.391489039,0.368978042,0.182150507,-0.057500964,0.177872126,0.373881517,0.376890057,-0.139847219,0.083472935,-0.040870259,-0.041256722,-0.112339786,-0.117934297,0.317581184,-0.029601541,0.240483326,0.331024968,0.038789863,0.038680684,-0.022510997,0.343949294,0.942499036,0.612274795,1.930751546,0.34326084,0.227722186,0.469572459,-0.040192184,0.247015816
0,0.209665364,0.331515091,0.147167537,0.454153795,0.527280717,0.590517993,0.161017969,0.38011318,1.134265721,0.444829191,-0.013009119,0.227953635,0.103529919,0.109533044,0.238209105,-0.059914742,0.563591318,0.074510241,0.38511436,0.538576437,-0.175145922,-0.118528566,0.073126922,0.510519487,1.161017969,0.443924096,3.582860243,3.096648523,0.309383525,0.661178428,0.108424807,0.455526365
0,0.18396142,0.320175771,0.191428246,0.388833004,0.363188592,0.134341273,-0.065952251,0.171760346,0.379313496,0.380930193,-0.162509408,0.062942733,-0.049511621,-0.047423765,-0.129907771,-0.108929541,0.309691906,-0.034100632,0.25165464,0.325290538,0.019890868,0.020559088,-0.025644412,0.340199794,0.934047749,0.59788486,1.897257061,0.2206372,0.224407326,0.463468495,-0.04623807,0.240353063
0,0.216543753,0.341697582,0.187782265,0.448841587,0.468135711,0.370029336,0.042986488,0.280353446,0.722001323,0.374075492,-0.087789983,0.156128589,0.030176238,0.030074556,0.073907047,-0.099593386,0.427421501,0.021041005,0.290691549,0.418874466,-0.071134399,-0.061438356,0.019294124,0.410068397,1.042986488,0.549556904,2.492970841,-103.3203212,0.266533418,0.559468907,0.029415452,0.343604939
0,0.215578522,0.360927108,0.199380171,0.451456793,0.423530588,0.173451864,-0.061857979,0.224150417,0.558715151,0.395542132,-0.152969502,0.079804787,-0.04898241,-0.044432723,-0.110784589,-0.130507547,0.359843547,-0.031916123,0.28831847,0.373878619,-0.039036057,-0.038246,-0.027926205,0.387311472,0.938142021,0.552411183,2.124236258,-6.79360289,0.225176428,0.506785032,-0.044831791,0.286303917
0,0.247917525,0.357916599,0.194974101,0.504524958,0.503006773,0.405374255,-0.003009137,0.308032672,0.946662737,0.340832628,-0.092734089,0.168528558,-0.002056289,-0.002129384,-0.004904476,-0.158538795,0.441319646,-0.001506836,0.294710144,0.441926581,-0.119540359,-0.105253899,-0.001518185,0.442532199,0.996990863,0.5447473,2.579864561,2.323410329,0.248792727,0.574935535,-0.002175109,0.359020442
0,0.174279786,0.319370681,0.146617962,0.471473605,0.446944734,0.399454492,-0.052025968,0.300326772,0.736416953,0.496422438,-0.049655508,0.166477211,-0.032609398,-0.037275939,-0.075506987,-0.192980507,0.505973125,-0.026707732,0.370723025,0.515974263,-0.086201366,-0.061890928,-0.024528871,0.525578508,0.947974032,0.459083975,3.048362758,-3.060701673,0.229006774,0.606021875,-0.041324819,0.398542515
